id,name,url,length,description,directions,city,region,country,lat,lon,difficulty,features,rating,thumbnail
287615,White Ranch,https://www.singletracks.com/bike-trails/white-ranch/,14.0,"This trail network is typical of what Colorado has to offer... a technical granny gear ascent up 1800+ ft on the Maverick trail with spectacular views of the surrounding Rocky mountains and wildlife.  The downhills can get pretty gnarly as well with lots of rocks and log dropoffs.  We didn't get to ride the entire network because we got caught in a thunderstorm, luckily we hid out in a cave on the Mustang trail until the storm passed.   Pick up a map at the parking lot as there are several trails to explore! ","From Denver, take 70W to Golden.  White Ranch State Park is ~2miles north of Golden and ~17 miles south of Boulder on Hwy 93.   Turn west (right if coming from Golden) onto W 56th Ave and follow the signs to the parking lot.",Golden,Colorado,United States,39.79906,-105.24839,Advanced,Night riding allowed,4.02,https://images.singletracks.com/blog/wp-content/uploads/2014/12/G1101841-orig-scaled.jpg
286511,Cherry Creek,https://www.singletracks.com/bike-trails/cherry-creek/,8.0,"Although technically, this is a bike path, there are extended sections of singletrack that dart in and out of it with some surprisingly technical spots.  For maximum singletrack/pavement ratio, start just south of the Holly intersection and look for the little paths that drop off the pavement towards the river.  This place can get really busy so ride friendly!  For people who live in Denver, this is an awesome place to go after work and hone your skills and have some fun, plus you can ride it for all but three or four months of the year.  I'm rating it as a 7 with the caveat that this is the highest rating I could ever give a city ride. ",This path runs along Cherry Creek in Denver from Confluence Park (the downtown REI) to Cherry Creek Ressevoir.  ,Denver,Colorado,United States,39.63121,-104.87961,Beginner,,3.25,https://images.singletracks.com/blog/wp-content/uploads/2007/06/2079-1181598490-orig.jpg
275314,Ruby Hill Park,https://www.singletracks.com/bike-trails/ruby-hill-park/,1.0,"Really nice little park with 5 downhill tracks featuring tabletops, doubles, and wooden features. There are also large and small pump tracks as well as 4 jump tracks. None of the courses are very long, but the whole park is well-maintained and super fun. The walk/ride to the top of the park is fairly short,  so you can hit it all day long and perfect your lines. It's also really close to anything you might need, being located right where the suburbs meet the commercial area.","Get on W Jewell Ave anywhere west of S Platte River Dr and head east. The park will be on your left, just before you reach S Platte River Dr.",Denver,Colorado,United States,39.68343,-105.00470,Advanced,"Drinking water, Pump track, Restrooms",4.0,https://images.singletracks.com/blog/wp-content/uploads/2017/05/ynrgd-orig.jpg
284480,Sunset Park,https://www.singletracks.com/bike-trails/sunset-park/,1.0,"Bunch of dirt jumps, easier section for warming up and some real nice big jumps.  No tabletops though.","Lakewood Park in Lakewood, Colfax to Oak St to W 12th Ave, go 2 blocks and itll be on the south side of the street.",Lakewood,Colorado,United States,39.73452,-105.11562,Advanced,Pump track,1.67,
274262,Van Bibber Park,https://www.singletracks.com/bike-trails/van-bibber-park/,6.0,"This is an Arvada Park with a mix of crushed granite double track, paved, and dirt single track trails.",Just south of 64th Avenue and Ward Road,Arvada,Colorado,United States,39.79820,-105.13590,,,0.0,
284557,South Table Mountain,https://www.singletracks.com/bike-trails/south-table-mtn/,8.0,"The most well marked trails on south table all start at the bottom and climb to the loop on top. From the parking area ride towards the NREL building and look for the trail system on your right. Ride up to the split and decided which way to go. I find the left fork easier to climb as the right fork has a lot of larger looser rocks, but both trail end at the same loop. Climb until you reach the crushed gravel loop on top. It's a fun loop with lots of Slick rock type features sticking out of the gravel. On the North West side of the loop there's a double track trail that continues to climb and take you to the ""Castle"". A large rock feature that overlooks Coors Brewing, from here it's a fun downhill all the way back to the parking lots.

There are so many trail to explore and many different climbs and descents to be done. This trail can be as a quick :30 minute ride or a long epic 2 hour ride, it's all up to you.","There are many access points to this trail system, but I haven't found any parking lots for the trail. The best access is from I-70 in the Belmar shopping area, Turn off on Denver West Blvd (this is located between Colfax 38th ave.) going north. There's a Marriott hotel on your left at this point. Take your next left at the light (on Denver west pkwy towards NREL) and park in one of the larger parking lots on your left. There's also access from the other 2 sides of South Table, behind Applewood golf course and next to Coors Brewing, but I can't give directions to theses trail heads.",Golden,Colorado,United States,39.74269,-105.16218,Beginner,Night riding allowed,2.5,https://images.singletracks.com/blog/wp-content/uploads/2015/06/mobile-1435181049-orig.jpg
271992,High Line Canal,https://www.singletracks.com/?post_type=bike-trails&p=271992,26.0,This is a gravel trail that is about 10 foot wide. It runs south west to north east Denver. Multi use relatively flat trail.,This trail can be accessed at multiple points and intersections. The trail is well marked with maps throughout,Greenwood village,Colorado,United States,39.60654,-105.00221,,Fat biking allowed in winter,0.0,
282274,Village Greens Park,https://www.singletracks.com/bike-trails/village-greens-park-mountain-bike-park/,3.0,"EVERYTHING!  Super easy basic loop, with obstacle options ever 50-100 yards.  Loops that include small hills with Beginner - Expert downhill.  Nearly anything you encounter in nature is on this trail, with the option to bypass if you want.","Take DTC Blvd. exit off I-225, and head South.  Turn Left (East) on Union Ave.  Turn left on South Dayton Ave (into Village Green Park).  Park in farthest lot.",Greenwood Village,Colorado,United States,39.63646,-104.87684,Intermediate,,4.27,https://images.singletracks.com/blog/wp-content/uploads/2013/05/20130503_185320-0-orig.jpg
286301,Standley Lake,https://www.singletracks.com/bike-trails/standley-lake/,5.0,"This trail is great for beginners who are looking for some exercise close to home (if you live in the area :-)).  The views of Standley Lake and the mountains are great from the shoreline.  There are many route options on this small trail system that has a good mix of short climbs and downhill sections.  The entire trail network is so small that any route will be just fine and about the same.  There's no getting lost here so explore and have fun.  Don't forget to spend some time in the NW part of the trail which borders a pretty big bald eagle nesting area.

","Take US-36 to Sheridan Blvd exit.  Turn Left at Sheridan Blvd.  Turn right on 88th Ave.  Continue on 88th Avenue to W 86th Pkwy.  At Simms Street, make a right onto trail head parking.",Westminster,Colorado,United States,39.85277,-105.13012,Beginner,Night riding allowed,3.22,https://images.singletracks.com/blog/wp-content/uploads/2007/09/2293-1189572102-orig.jpg
288885,Green Mountain,https://www.singletracks.com/bike-trails/green-mountain-2/,7.0,"This park has three parking areas. The loop is the same from all. From any trailhead, begin a clockwise loop in the park. On the south-east sides of the park, this loop maintains fairly constant elevation as it winds around the base of Green mountain. On the north west side of the mountain, a jeep road will take you to the top. On top, follow the jeep road past the radio towers, and back onto singletrack on the south east leg of the loop. Descend this singletrack, and finish the loop back to your car.","From I-25, take 6th Ave. west. Drive approximately 6 miles to Kipling. Take Kipling south for 2 miles before taking a right on Alameda. Stay on Alameda for 3 miles until you see a parking area on the right. This trail is part of William Frederick Hayden Park.",Denver,Colorado,United States,39.69666,-105.19224,Intermediate,Night riding allowed,3.37,https://images.singletracks.com/blog/wp-content/uploads/2015/06/landscape_greenmountain_finished-orig-scaled.jpg
